id,price
100000,3641456.114101363
100001,7201260.819209134
100002,3339810.6908742352
100003,2141913.389809987
100004,2521081.0271684616
100005,4747281.093097656
100006,5454457.241310461
100007,4628470.408271329
100008,13621976.264186533
100009,1745160.2892521077
100010,5618221.456018775
100011,1633169.0296951877
100012,1706833.2567009348
100013,2326530.753457238
100014,3465076.6811691276
100015,23494734.20846237
100016,7625644.550227211
100017,2937365.965388866
100018,4397877.96852381
100019,2624425.003129548
100020,1874166.256094768
100021,4096291.7649170035
100022,6169478.477094073
100023,3575433.6129303495
100024,6168459.942620446
100025,3631263.8437726726
100026,8459172.082605164
100027,3103873.3967708433
100028,3469274.554200414
100029,2076176.4543782135
100030,1971031.694389653
100031,7685902.237688338
100032,3430729.2509570844
100033,3529491.4684781986
100034,1850987.7871637647
100035,18425231.8175013
100036,1149773.8630151462
100037,2023350.4716321651
100038,2766308.4202746185
100039,3254785.8152653086
100040,1311681.0437969978
100041,8623122.547646424
100042,2758265.901682257
100043,8778760.315733492
100044,5848656.802850783
100045,565316.7788650321
100046,2895272.843873491
100047,2636871.2536583445
100048,2642763.7438948434
100049,5150714.452289588
100050,7534977.1591935875
100051,2357638.0090236226
100052,3104324.767562756
100053,7293848.997303466
100054,2788143.469366684
100055,1601982.7025087576
100056,2037015.7907667514
100057,5072254.1671135975
100058,5133887.004142788
100059,5116670.204891149
100060,13048021.15206325
100061,3608292.9001741083
100062,1818549.7384349045
100063,7293968.517535489
100064,4626951.951822934
100065,3104513.295140011
100066,5860542.800563028
100067,2579995.150642109
100068,2071648.7989802621
100069,1740625.2815314382
100070,2326837.256415115
100071,4891029.104731628
100072,26291456.53399211
100073,2229898.801894753
100074,2868642.24980898
100075,4439530.240115465
100076,5064467.193626428
100077,2020898.2206495255
100078,4882821.373701947
100079,3472128.1855430594
100080,1591523.2492916512
100081,5967109.142160706
100082,5319715.70710864
100083,2102693.8965370264
100084,2360649.843680092
100085,3689453.231666316
100086,1880748.9212320286
100087,7004682.851375467
100088,5626153.17200004
100089,6218626.209574523
100090,5249446.342121377
100091,1613940.5232406035
100092,3251475.544892013
100093,2695516.90332476
100094,3627166.6320627965
100095,2109903.5296294997
100096,3648036.764606168
100097,3335661.3673122637
100098,3484218.195968744
100099,3795549.254111073
100100,6985275.617424756
100101,1783103.3591188423
100102,5840485.711857467
100103,6301124.375579658
100104,724423.7716669751
100105,8506722.570459543
100106,4118574.476023103
100107,4095906.474658606
100108,2863342.115442051
100109,3836010.441686933
100110,2379661.5120660835
100111,6570339.581775272
100112,3327531.696389408
100113,4583318.231485046
100114,4522323.965874003
100115,6406896.739694412
100116,5720591.299321925
100117,2618434.375330643
100118,4926758.418570212
100119,2256345.277941442
100120,1373980.4545631632
100121,2118822.3572008554
100122,4152901.5461405627
100123,5659641.169874595
100124,7192156.103951117
100125,5613857.720795523
100126,1197547.261485816
100127,3313347.6287427824
100128,4006904.9302120474
100129,5442227.402065891
100130,1368647.8947903737
100131,4724523.788746528
100132,21966940.372827325
100133,1460871.4994241353
100134,2379688.983074776
100135,3890279.1620085267
100136,6184263.8326138025
100137,4439641.790725515
100138,2803235.5972259664
100139,4400852.545346504
100140,2105997.447902336
100141,6735513.671033828
100142,3846123.610890615
100143,1649426.4217035077
100144,4932171.630663082
100145,4674743.241551244
100146,5468037.403333657
100147,2897363.029554786
100148,5087613.662857123
100149,3887148.645842409
100150,3484179.9080198538
100151,3515830.217183861
100152,7227529.238047353
100153,2203083.3651181757
100154,3317559.0732790893
100155,1491925.9712107186
100156,6178402.1246483475
100157,2130259.980739934
100158,2380425.5630100328
100159,4849215.575751576
100160,2645130.3680968313
100161,4928226.217739622
100162,3988778.0295211077
100163,1119106.423971304
100164,1293772.5414571024
100165,8172056.490897881
100166,11857646.535222283
100167,2026016.074816561
100168,1993853.238169201
100169,3734463.851500959
100170,6234954.9178243065
100171,1432023.9691739732
100172,3049704.547783368
100173,6173132.044030482
100174,6755610.00763
100175,3427631.930819944
100176,3995407.1605549525
100177,4464119.201876843
100178,1332870.5400109824
100179,3468683.9447326865
100180,5016747.645966604
100181,10330509.339906076
100182,4057738.9815690136
100183,27904824.24918852
100184,5078806.9761600215
100185,9313884.269633373
100186,5614720.741184964
100187,6102879.13235094
100188,4691861.357800954
100189,3418699.4606001303
100190,9837233.534895472
100191,3046301.2062040865
100192,3325180.681097832
100193,3945389.459582148
100194,5161731.542997446
100195,2452564.5621727034
100196,4112253.0793830347
100197,3693049.4528330476
100198,5759358.9498949
100199,2338281.0015347777
100200,4548979.756630602
100201,3609597.1172111384
100202,9635012.872503547
100203,6596436.357947152
100204,3368788.6195620378
